accuracy,loss,t-loss
0.35000,1.07868,1.06948
0.45000,1.07077,1.08209
0.30000,1.07734,1.08523
0.35000,1.06670,1.07528
0.70000,1.05598,1.04347
0.85000,1.03496,1.04359
0.85000,1.01710,1.00466
0.55000,0.99836,1.00677
0.70000,0.95517,0.97042
0.50000,0.95550,0.88642
0.70000,0.87960,0.84745
0.55000,0.88191,0.89213
0.70000,0.77824,0.83717
0.65000,0.75202,0.66353
0.55000,0.77927,0.80738
0.50000,0.77368,0.71228
0.50000,0.75106,0.56427
0.50000,0.72213,0.34100
0.65000,0.58224,0.61219
0.50000,0.65980,0.33058
0.60000,0.55937,0.59579
0.65000,0.50892,0.48199
0.50000,0.60580,0.29940
0.50000,0.58808,0.37186
0.60000,0.49027,0.50093
0.50000,0.54568,0.50385
0.65000,0.45469,0.45432
0.60000,0.49311,0.56121
0.50000,0.52513,0.53515
0.70000,0.41837,0.53274
0.75000,0.38067,0.51119
0.75000,0.36525,0.39974
0.55000,0.46838,0.38152
0.55000,0.48706,0.24605
0.75000,0.37058,0.25704
0.75000,0.36983,0.19067
0.80000,0.32529,0.25436
0.65000,0.39778,0.26047
0.85000,0.38839,0.22296
0.85000,0.36406,0.31081
0.95000,0.36963,0.30802
0.85000,0.35855,0.20641
0.70000,0.39218,0.35495
1.00000,0.28900,0.27304
1.00000,0.33609,0.14482
0.95000,0.34084,0.27342
0.95000,0.34650,0.27695
0.90000,0.31041,0.18222
0.95000,0.24866,0.15694
0.90000,0.28661,0.26598
0.90000,0.24931,0.16260
0.95000,0.28123,0.16273
1.00000,0.22947,0.15791
1.00000,0.25679,0.13535
0.95000,0.22035,0.16940
1.00000,0.25027,0.22314
0.95000,0.23400,0.13538
0.90000,0.25051,0.08276
1.00000,0.21371,0.21657
1.00000,0.21105,0.11028
0.90000,0.26642,0.19344
1.00000,0.20032,0.16632
1.00000,0.20002,0.20888
1.00000,0.19227,0.23990
1.00000,0.18610,0.09755
1.00000,0.18619,0.10289
1.00000,0.15250,0.13892
1.00000,0.19151,0.13076
1.00000,0.20347,0.18259
1.00000,0.15932,0.19024
0.95000,0.21343,0.15187
1.00000,0.20836,0.15216
1.00000,0.12221,0.11290
1.00000,0.17318,0.08843
0.90000,0.23327,0.06127
0.95000,0.19667,0.08446
1.00000,0.11017,0.16306
0.90000,0.22792,0.05537
1.00000,0.13130,0.13367
1.00000,0.12138,0.09556
1.00000,0.16785,0.06177
1.00000,0.16701,0.08188
1.00000,0.09081,0.07663
1.00000,0.14813,0.08676
0.90000,0.22867,0.10194
0.95000,0.18961,0.08295
1.00000,0.12373,0.10196
0.90000,0.20892,0.06937
0.85000,0.21444,0.10103
0.95000,0.19687,0.07561
1.00000,0.12032,0.07753
0.95000,0.18526,0.10756
0.90000,0.22661,0.04834
1.00000,0.11186,0.14229
0.95000,0.18899,0.15157
0.90000,0.23065,0.04714
0.95000,0.20262,0.05600
1.00000,0.07331,0.07039
0.95000,0.18945,0.05194
0.95000,0.19178,0.06390
1.00000,0.11256,0.07455
1.00000,0.11919,0.07712
1.00000,0.12339,0.16766
1.00000,0.09357,0.06838
1.00000,0.10897,0.11892
1.00000,0.09863,0.10004
1.00000,0.09318,0.10332
0.95000,0.19534,0.03228
1.00000,0.12866,0.05804
1.00000,0.11867,0.04734
1.00000,0.05468,0.06685
1.00000,0.07822,0.03427
1.00000,0.04678,0.07474
0.90000,0.22277,0.06179
1.00000,0.09107,0.04994
1.00000,0.10476,0.03957
0.95000,0.18963,0.02991
1.00000,0.10701,0.04177
1.00000,0.07433,0.10741
1.00000,0.09075,0.05516
1.00000,0.06523,0.06458
1.00000,0.08840,0.07930
1.00000,0.04714,0.04303
1.00000,0.07286,0.05036
1.00000,0.07822,0.03928
1.00000,0.10161,0.08531
1.00000,0.09495,0.11648
1.00000,0.09338,0.03777
0.95000,0.17161,0.09182
0.85000,0.16765,0.16359
0.90000,0.20216,0.06226
1.00000,0.05401,0.05366
1.00000,0.04489,0.04499
1.00000,0.06480,0.05147
0.95000,0.17169,0.04496
1.00000,0.07454,0.03933
1.00000,0.04254,0.04721
1.00000,0.08059,0.04024
1.00000,0.09124,0.03442
1.00000,0.04809,0.04543
1.00000,0.02834,0.03758
1.00000,0.07432,0.04768
1.00000,0.07264,0.03078
0.95000,0.11503,0.04891
0.95000,0.16825,0.04533
1.00000,0.08567,0.04132
0.90000,0.20922,0.11417
1.00000,0.09306,0.02181
1.00000,0.06519,0.04539
0.95000,0.19098,0.03117
1.00000,0.05626,0.04492
1.00000,0.05598,0.04023
1.00000,0.08771,0.04135
0.95000,0.20316,0.05571
